id;first_name;last_name;gender;email;phone;address_line_1;address_line_2;city;country;user_id
1;Garnett;Schinner;MALE;Carli45@yahoo.com;(361) 760-0978 x92019;Money Market Account;Albania web-readiness;South Leopold;Iceland;1
2;Alycia;Greenfelder;MALE;Geovanni_Langworth46@gmail.com;866-140-0999;cross-platform access;Public-key;South Marjorieland;Myanmar;1
3;River;Barton;MALE;Chloe.Ondricka42@gmail.com;1-255-109-8749 x389;capacitor archive;sky blue Tasty Plastic Pizza;Lake Donavon;Maldives;2
4;Kyler;Hermiston;MALE;Casper98@hotmail.com;731-200-8177 x777;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;West Marcella;Ghana;2
5;Monte;McLaughlin;MALE;Blake_Witting76@yahoo.com;1-527-240-5741 x0412;Dynamic;knowledge base Buckinghamshire;Connellyberg;Mozambique;1
6;Kamille;Roob;MALE;Lavinia.Green88@gmail.com;1-682-618-4821 x48853;Fresh granular Direct;Profit-focused;North Rebeca;Guatemala;2
7;Ellsworth;Adams;MALE;Jazmin.Ernser26@yahoo.com;1-291-325-5743;Engineer;Exclusive Moroccan Dirham card;East Zoetown;Estonia;2
8;Weston;Kuvalis;MALE;Marilyne.Considine@gmail.com;952-560-7322 x783;invoice withdrawal;bypassing optical;West Joeyville;Paraguay;1
9;Ryann;McLaughlin;MALE;Merl.Langosh34@gmail.com;019-633-5981 x6371;Global;Fiji Dollar Profound Bacon;Luettgenport;Malawi;1
10;Deangelo;Zieme;MALE;Stephan.Tillman@yahoo.com;1-237-788-8847;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;Ondrickashire;Albania;1
